Runtime,Model,Image,Inference Time (ms),Top Prediction,Probability
opencv,resnet50,cat,174.07,tiger cat,0.0002
opencv,resnet50,cat,171.42,tiger cat,0.0002
opencv,resnet50,cat,172.16,tiger cat,0.0002
opencv,resnet50,cat,171.74,tiger cat,0.0002
opencv,resnet50,cat,171.87,tiger cat,0.0002
opencv,resnet50,cat,171.50,tiger cat,0.0002
opencv,resnet50,cat,171.24,tiger cat,0.0002
opencv,resnet50,cat,171.59,tiger cat,0.0002
opencv,resnet50,cat,171.27,tiger cat,0.0002
opencv,resnet50,cat,171.59,tiger cat,0.0002
